population,n_responder,n_nonresponder,mean_responder_pct,mean_nonresponder_pct,mean_diff_resp_minus_nonresp,mannwhitney_p,welch_t_p,mannwhitney_p_adj_BH,welch_t_p_adj_BH,significant_BH_0.05
b_cell,993,975,9.797552613770158,9.996319710875161,-0.1987670971050033,0.055702309738266245,0.17121261689054976,0.1392557743456656,0.3210811538044015,False
cd8_t_cell,993,975,24.881931595096706,24.94392435752586,-0.06199276242915275,0.6390858847346418,0.768467982670155,0.6390858847346418,0.768467982670155,False
cd4_t_cell,993,975,30.537808341850095,29.902261776254058,0.6355465655960373,0.013344218813937624,0.005012665969050488,0.06672109406968811,0.025063329845252436,False
nk_cell,993,975,14.84094427086041,15.07316621464659,-0.23222194378618077,0.1210507982042857,0.1926486922826409,0.20175133034047618,0.3210811538044015,False
monocyte,993,975,19.941763178422633,20.084327940698326,-0.14256476227569337,0.16315013268752876,0.4658442984158958,0.20393766585941095,0.5823053730198697,False
